wrinkles_severity,acne_severity,dark_circle_severity,pigmentation,skin_type,skin_tone,redness,dark_spots,product_recommendation
5,7,3,2,normal,olive,,2,['moisturizer']
8,1,1,1,dry,FAIR,5,2,"['moisturizer', 'serum']"
8,3,0,3, COMBINATION,brown,0,4,
3,7,7,6,OILY,fair,2,0,"['toner', 'facewash']"
,10,2,5,sensitive,brown,6,5,
5,5,2,5,,fair,7,10,['toner']
10,1,4,0,normal,OLIVE,0,4,['serum']
2,3,2,0,oily,olive,0,,['sunscreen']
5,2,8,4,, brown ,7,0,moistrzr
4,2,0,3,norml,,4,,['moisturizer']
0,2,1,8,OILY, FAIR ,9,5,['sunscreen']
9,2,7,7,senevtiis,fair,1,5,"['sunscreen', 'serum']"
6,1,10,9,sensitive,,1,9,moistrzr
0,7,0,8,,brown,10,5,"['toner', 'facewash', 'sunscreen']"
6,9,6,9,NABITC NOIMO,brown,2,1,"['toner', 'facewash', 'sunscreen']"
8,7,9,6,SENSITIVE,elvoi,8,3,"['toner', 'facewash', 'serum']"
3,0,7,2,sensitive, aDkr,6,,['toner']
1,,5,2,, brown ,8,9,serumm
5,9,9,5,OILY,FIRA,0,3,['moisturizer']
,5,5,10,Dry, DARK,4,0,['moisturizer']
7,4,4,6,normal,brown,3,5,['serum']
,2,6,7,sensitive, Dark,3,1,['sunscreen']
9,2,,,Dry,,2,9,"['moisturizer', 'serum']"
6,9,,9,sensitive,olive,4,6,
8,4,0,9,oily,FRAI,9,0,['sunscreen']
1,5,8,7,NORML,medium,4,0,
6,4,5,6,normal, Dark,2,9,['moisturizer']
2,4,5,8,,brown,4,,
3,4,9,9,oily,olive,4,6,moistrzr
3,0,4,6,  COMBINATION ,brown,9,9,['sunscreen']
5,4,3,1, COMBINATION,FAIR,3,9,serumm
9,2,9,0,lmorn,brown,7,4,['serum']
,7,6,1,Dry,olive,,10,"['toner', 'facewash', 'moisturizer']"
3,7,1,2, COMBINATION,fair,0,0,"['toner', 'facewash']"
2,10,4,2,Dry,medum,0,0,"['toner', 'facewash', 'moisturizer']"
7,9,10,1,dry,brown,2,1,
2,6,,9,oily,dark,,9,['sunscreen']
9,9,1,2, combination ,medium,8,6,face wash
3,9,4,1,OILY,fair,10,7,"['toner', 'facewash']"
3,,4,8,sensitive,FAIR,3,9,['sunscreen']
4,8,7,2,norml,,0,2,"['toner', 'facewash']"
,1,0,6,OILY,dark,7,6,['moisturizer']
4,0,6,6,combination,rfai,,2,serumm
8,0,0,3,norml,dark,8,5,['serum']
10,2,0,3,oily, medium ,8,2,moistrzr
8,6,3,2,,,9,4,['serum']
4,2,8,3, norml ,brown,10,4,
3,4,6,8,OILY,dark,6,,['sunscreen']
,9,6,9,  COMBINATION , Dark,4,2,serumm
6,10,10,1,oily,FAIR,8,9,"['toner', 'facewash']"
9,0,5,6,norml,,7,9,['moisturizer']
8,1,,9,,MEDUM,1,4,['serum']
,5,2,7,oanlmr,dark,0,5,['serum']
3,0,6,8, dry , fair ,3,3,"['sunscreen', 'moisturizer']"
,2,5,6,OILY,fair,10,9,['toner']
9,2,,2,Dry,medium,1,,
,7,,6, COMBINATION,FAIR,0,2,"['toner', 'facewash']"
8,,8,7, COMBINATION,brown,0,5,serumm
4,5,9,4,norml,medum,5,4,['facewash']
,,3,2,norml,fair,2,3,['facewash']
8,1,8,0,dry,dark,0,4,serumm
5,5,2,6, norml ,dark,8,10,['facewash']
9,7,5,7,dry,,4,7,"['facewash', 'serum', 'toner', 'sunscreen', 'moisturizer']"
9,3,9,7,,,9,1,['serum']
4,8,3,10,oily, olive ,5,0,
8,0,4,3,SENSITIVE,mdiuem,2,5,serumm
,2,4,8,SENSITIVE,,1,9,['sunscreen']
7,1,10,4,,fair,6,,['serum']
0,5,0,1, sensitive ,fair,0,10,['toner']
4,9,8,5,OILY,FAIR,10,10,"['toner', 'facewash']"
0,0,1,8,oily,brown,2,0,['sunscreen']
4,6,5,0, normal ,olive,4,4,['sunscreen']
5,2,4,6,OILY,medum,4,4,
,9,9,2,dry,imuedm,0,4,serumm
,0,2,3,dry,wrbno,0,0,['moisturizer']
7,,7,,OILY,olive,9,9,['serum']
1,5,,2,,medium,10,1,
0,5,4,10,oily,olive,8,0,['toner']
6,4,4,, COMBINATION,medum,10,2,['serum']
6,5,1,5,Dry,fair,1,1,['moisturizer']
1,10,2,1,OILY,medium,3,8,
5,0,7,6, Dry ,olive,9,2,['moisturizer']
0,4,3,9,normal,dark,7,0,['sunscreen']
9,0,3,7,normal, Dark,4,1,['sunscreen']
5,4,1,10,combination,fair,10,10,['sunscreen']
2,8,6,6,COMBINATION,olive,,5,"['toner', 'facewash']"
7,3,7,3,Dry,brown,,8,"['moisturizer', 'serum']"
2,,10,1, combination ,dark,9,2,['toner']
2,4,4,1,DRY,olive,9,5,['moisturizer']
4,5,0,,Dry,,8,9,
1,0,9,10,sensitive,MEDUM,8,9,['sunscreen']
,8,,7, COMBINATION,fair,10,0,"['toner', 'facewash', 'sunscreen']"
9,3,,7,NORML,medium,0,2,"['sunscreen', 'serum']"
,7,5,9,OILY, Dark,6,,"['toner', 'facewash']"
1,9,10,,normal,medum,2,6,
2,6,10,1,norml,fair,9,5,['sunscreen']
2,2,8,6,Dry,medum,4,9,['moisturizer']
6,,0,6, COMBINATION,,5,9,['toner']
8,0,3,8,dry,medum,3,9,"['moisturizer', 'serum']"
2,,1,3, COMBINATION,olive,5,1,['moisturizer']
7,,,2,norml,fair,9,8,serumm
4,5,3,9,rDy,fair,1,10,['sunscreen']
7,10,5,4,sensitive, DARK,8,,['serum']
4,5,4,5,norml,medium,5,6,['sunscreen']
3,10,7,6,norml,medium,8,6,
2,2,7,4,  COMBINATION ,,3,7,['toner']
5,1,3,10,combination,medium,3,5,['sunscreen']
5,0,7,5,combination,fair,2,8,
1,10,7,9, COMBINATION,MEDIUM,2,4,"['toner', 'facewash', 'sunscreen']"
5,9,5,3,combination, olive ,2,3,['moisturizer']
0,3,,0,,dark,9,5,face wash
4,10,3,10,sensitive,FAIR,,,"['toner', 'facewash']"
5,1,7,9,norml,medum,4,6,['sunscreen']
9,1,7,1, OILY , DARK,,0,
4,8,0,8,combination, medum ,10,7,moistrzr
5,6,2,,Dry,BROWN,4,,['moisturizer']
4,7,10,8,,medium,1,2,"['toner', 'facewash', 'sunscreen']"
2,0,7,5,normal,,7,10,['serum']
8,4,2,4,oily,medum,4,4,face wash
2,10,,,norml,  Dark ,8,9,"['toner', 'facewash']"
8,1,7,7,sensitive, Dark,6,7,"['sunscreen', 'serum']"
2,5,0,6,dry,dark,0,8,moistrzr
0,0,6,1, Dry ,,4,7,
,2,6,2,Dry, Dark,5,,['moisturizer']
2,6,2,7, COMBINATION,olive,9,3,
0,3,6,10,sensitive,brown,3,5,['sunscreen']
8,0,4,10,LYIO,medium,6,0,"['sunscreen', 'serum']"
3,5,1,9,DRY,idmmue,4,10,['moisturizer']
9,0,5,5, COMBINATION,,3,7,['moisturizer']
3,7,,4,combination, Dark,3,1,"['toner', 'facewash']"
10,2,2,,normal,fair,3,9,['moisturizer']
10,10,4,3, OILY ,dark,,9,serumm
7,5,5,7, COMBINATION,olive,6,9,face wash
10,9,7,1,,medum,8,0,face wash
7,10,3,3,NOCOTMAI BIN, Dark,4,7,"['toner', 'facewash']"
4,,9,0,dry,rak D,9,8,['moisturizer']
5,2,7,8,norml, Dark,5,10,moistrzr
6,0,4,4, COMBINATION,,9,,['serum']
5,6,8,0,norml,  Dark ,5,6,['facewash']
,7,4,8, COMBINATION,fair,4,8,"['toner', 'facewash', 'sunscreen']"
,3,,4,,medum,9,,['moisturizer']
2,3,8,9,combination,FAIR,10,5,['toner']
1,6,,10,  COMBINATION , medum ,1,10,['sunscreen']
0,10,10,10,sensitive,FAIR,2,5,"['toner', 'facewash', 'sunscreen']"
7,8,6,3,,FAIR,5,4,['toner']
7,,0,10,DRY,fair,5,9,"['sunscreen', 'moisturizer']"
1,,0,6,norml,MEDUM,0,3,['toner']
8,0,3,5,combination,FAIR,,7,face wash
0,6,0,6, Dry , FAIR ,2,10,['moisturizer']
7,2,0,7,dry,FAIR,2,1,"['sunscreen', 'moisturizer']"
0,2,1,1,oily,,5,0,['sunscreen']
,,2,3, COMBINATION,brown,0,7,serumm
,6,2,9,OILY,brown,9,2,['serum']
1,0,6,6,norml, Dark,1,6,['toner']
7,0,8,6,dry,brown,,7,"['moisturizer', 'serum']"
6,10,7,5,normal,brown,8,4,"['toner', 'facewash']"
2,2,0,7,OILY, medum ,1,2,
7,7,10,,dry,medium,3,4,"['toner', 'facewash', 'moisturizer', 'serum']"
5,4,6,1,DRY, Dark,6,9,
6,0,6,, COMBINATION,fair,2,2,serumm
,1,1,0, combination ,medium,4,3,['serum']
10,9,1,,Dry,brown,6,6,['moisturizer']
3,4,4,5,oily,FAIR,,,['sunscreen']
4,2,3,9,oily,FAIR,5,7,['sunscreen']
0,9,7,10,sensitive, fair ,6,,['sunscreen']
1,2,0,8,OILY,brown,7,1,['sunscreen']
8,6,8,5,oily,,5,10,['serum']
3,9,9,1,,dark,6,4,"['toner', 'facewash']"
10,5,1,4,,dark,9,,['serum']
8,5,1,0,norml,,4,8,['serum']
5,9,6,4, COMBINATION,,9,,moistrzr
4,10,8,5,Dry,brown,10,7,serumm
1,8,4,,DRY,dark,,0,moistrzr
9,4,9,1, oily ,fair,5,10,['serum']
0,2,4,3,obtnonmiiac,medum,2,9,['sunscreen']
4,10,7,10,, Dark,3,0,"['toner', 'facewash', 'sunscreen']"
10,,7,2, OILY ,DARK,5,1,['serum']
6,,5,5,Dry,FAIR,4,7,['moisturizer']
0,9,3,,normal, medum ,2,2,"['toner', 'facewash']"
3,10,0,10, Dry ,MEDIUM,10,1,"['toner', 'facewash', 'moisturizer']"
8,9,1,4,  COMBINATION ,fair,8,8,"['toner', 'facewash', 'serum']"
,0,0,8,norml,brown,10,,moistrzr
9,8,,,,medum,2,1,
4,2,5,1, COMBINATION, DARK,2,4,['toner']
10,10,,0,normal,FAIR,9,8,"['toner', 'facewash', 'serum']"
6,0,,2,  COMBINATION , medum ,7,4,['sunscreen']
0,6,4,5,Dry,medum,5,7,
8,1,8,10,biomtninoca, FAIR ,9,8,"['sunscreen', 'serum']"
9,9,6,0, combination , Dark,6,9,"['toner', 'facewash', 'serum']"
4,5,9,6,OILY, Dark,4,6,['sunscreen']
,,7,1,SENSITIVE, dark ,10,6,['sunscreen']
1,3,6,2, COMBINATION,medum,1,10,['toner']
9,6,0,7,NORMAL,fair,2,1,moistrzr
2,4,10,7,norml, FAIR ,9,6,face wash
6,,7,0,  COMBINATION ,DARK,3,5,['sunscreen']
8,1,,9,Dry,dark,1,6,"['sunscreen', 'moisturizer', 'serum']"
2,9,1,10,Dry,dark,6,,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
2,10,6,3,norml, kaDr,0,4,
8,7,8,9,norml,medum,8,6,"['toner', 'facewash', 'sunscreen']"
3,4,0,,,olive,,7,['facewash']
1,3,1,4,combination,,8,,['facewash']
4,8,,8,normal,medium,,3,moistrzr
10,9,4,,norml,FAIR,10,5,['moisturizer']
,7,7,10, sensitive ,olive,1,,"['toner', 'facewash']"
6,3,3,10,normal,olive,7,3,serumm
5,4,2,9,Dry,AFRI,10,1,['moisturizer']
8,9,8,,SENSITIVE,brown,9,,['serum']
7,5,4,4,OILY,medium,5,6,moistrzr
0,8,2,3,norml,olive,9,0,['sunscreen']
,,2,,dry,FAIR,1,0,['moisturizer']
7,2,,5,COMBINATION,,7,8,['serum']
8,3,4,1,yloi,,10,8,['serum']
7,2,10,8,,olive,2,8,serumm
1,9,8,7,combination,dark,8,4,"['toner', 'facewash']"
10,10,1,7,oily,,5,7,face wash
10,4,9,1,OILY,,5,4,['serum']
4,0,1,7,dry,FAIR,2,9,"['sunscreen', 'moisturizer']"
2,7,7,1, dry ,fair,,10,"['toner', 'facewash', 'moisturizer']"
0,5,7,2,dry,dark,7,0,
10,10,8,10,normal, brown ,8,,"['toner', 'facewash', 'serum', 'sunscreen']"
9,3,10,,,FAIR,6,4,['serum']
10,9,8,,combination,,6,9,
9,10,4,6,oily,,1,3,"['toner', 'facewash', 'serum']"
1,6,1,10,Dry,demmu,0,8,['moisturizer']
0,7,1,7, COMBINATION,brown,2,5,['sunscreen']
,6,9,8,DRY, medum ,1,4,"['sunscreen', 'moisturizer']"
5,,3,3,,FAIR,1,3,['toner']
,0,5,0,dry, brown ,9,5,['moisturizer']
0,5,9,7,, medium ,10,1,['serum']
,3,10,2,,FAIR,3,,['facewash']
10,0,5,2,sensitive,,10,9,serumm
6,9,1,,sensitive, FAIR ,3,0,"['toner', 'facewash']"
2,8,6,6,norml,kaDr ,,3,
,3,5,10,OILY,brown,10,2,['sunscreen']
0,7,4,,normal,FAIR,10,3,"['toner', 'facewash']"
5,2,8,4,dry,medum,2,10,['moisturizer']
0,9,5,1, sensitive ,,2,0,"['toner', 'facewash']"
8,,1,10,mncioiatnob,medum,7,8,serumm
0,4,7,10,Dry, Dark,1,3,
6,2,4,7,combination, dark ,9,2,['sunscreen']
3,8,6,0, dry ,medum,3,3,['moisturizer']
8,5,8,5,ronlam,FAIR,5,,['serum']
4,1,,7,Dry,FAIR,10,0,['moisturizer']
7,4,1,1, normal ,medium,,,
8,0,5,8,combination,uimemd,7,10,['sunscreen']
5,2,7,8, COMBINATION,DARK,,8,['sunscreen']
5,5,,,OILY,  Dark ,,7,['facewash']
1,,1,0,Dry,,0,8,['moisturizer']
0,3,9,5,OILY,dark,6,1,
,6,9,9,normal,FAIR,1,1,['sunscreen']
9,6,0,7,oily,fair,10,2,serumm
10,5,8,5,combination,olive,8,6,['serum']
8,1,7,7,combination,dkar,1,3,"['sunscreen', 'serum']"
10,6,,3, COMBINATION,medium,3,5,
9,5,9,2,oily,medum,8,9,['serum']
10,1,5,6,,medum,,2,['serum']
9,2,6,3,SENSITIVE, Dark,7,6,['sunscreen']
4,6,2,1,NORML,FAIR,,1,
2,5,4,7,norml,,8,10,face wash
2,9,2,2,normal,,,0,"['toner', 'facewash']"
6,0,4,9,oily,brown,7,3,
4,3,3,7,sensitive,MEDIUM,1,0,
2,8,3,9,NORMAL,FAIR,4,1,serumm
3,1,1,3,DRY,dark,5,6,['moisturizer']
9,2,2,9,sensitive,FAIR,,2,serumm
1,7,4,0,SENSITIVE,medium,2,9,
7,3,6,9, sensitive ,brown,1,6,['sunscreen']
4,4,5,8,OILY,dark,5,7,
6,8,3,1,normal, Dark,6,5,"['toner', 'facewash']"
0,10,8,8,oily,dark,1,2,"['toner', 'facewash']"
4,4,0,7,normal,dark,7,3,face wash
6,10,9,,oily,brown,5,9,"['toner', 'facewash']"
9,,0,4,amolnr,Dar k,3,7,['sunscreen']
10,0,8,5, oily ,FAIR,3,8,['serum']
10,,4,4,dry,,,0,['moisturizer']
7,7,5,10, COMBINATION,,,1,"['toner', 'facewash']"
1,8,4,3,tnbmaicoino,fair,9,0,"['toner', 'facewash']"
6,,5,4, COMBINATION,fair,4,,
4,0,0,2,OILY,brown,9,3,['moisturizer']
4,1,7,10,combination,medium,10,1,face wash
8,1,8,6, COMBINATION,medum,7,,face wash
1,6,5,3,,medium,6,3,
1,,6,7,oily,brown,1,4,moistrzr
,6,7,5,norml,medum,4,5,['moisturizer']
1,,6,6,norml, Dark,9,10,['sunscreen']
9,1,1,0,OILY,FAIR,9,7,
7,0,10,7, combination , Dark,8,3,"['sunscreen', 'serum']"
0,0,,4,combination,  Dark ,4,,
9,1,1,5,normal,medum,8,0,['sunscreen']
8,8,8,4, Dry ,,8,10,
3,1,5,3,NORML,,5,2,serumm
5,1,1,8,, Dark,6,2,['sunscreen']
10,0,7,5,dry,dark,6,8,
4,0,9,6,YLIO,,4,,['toner']
8,0,0,0,norml,fair,2,5,['facewash']
9,10,2,7,oily,FAIR,9,1,face wash
8,2,,9,oily, Dark,7,1,
5,,9,8,Dry, Dark,4,1,"['sunscreen', 'moisturizer']"
4,3,10,6,norml,FAIR,5,1,face wash
10,10,4,6, combination ,dark,10,6,
4,8,3,10,sensitive,olive,2,3,"['toner', 'facewash']"
4,5,2,1,norml,FAIR,3,4,['moisturizer']
3,10,,7, Dry , fair ,9,3,"['toner', 'facewash', 'moisturizer']"
1,1,0,3,SENSITIVE,fair,9,8,['serum']
10,6,9,6,DRY,dark,,7,moistrzr
0,9,9,7,,DARK,3,3,"['toner', 'facewash', 'sunscreen']"
3,5,6,5,norml,brown,0,7,moistrzr
9,10,6,5,  COMBINATION ,fair,5,4,"['toner', 'facewash']"
5,8,9,8,,medum,9,7,
9,8,9,7,oily,medum,7,0,"['sunscreen', 'serum']"
9,10,4,3,NORML,brown,1,7,['serum']
2,3,6,9, dry ,medum,8,1,"['sunscreen', 'moisturizer']"
2,3,9,0,oily,,6,1,['toner']
4,0,2,1,nloram,brown,0,6,['sunscreen']
4,0,5,4,Dry,medium,2,6,['moisturizer']
10,,,8,,brown,8,1,['sunscreen']
2,6,4,1,dry,medium,2,9,['moisturizer']
,6,8,0,sensitive,dark,10,6,['moisturizer']
7,2,3,9,Dry,dark,5,9,"['moisturizer', 'serum']"
6,3,7,4,dry, olive ,,3,moistrzr
2,8,7,0,NORML, olive ,10,5,"['toner', 'facewash']"
8,6,3,0, COMBINATION,MEDIUM,,,['facewash']
10,4,7,5, normal ,medium,7,1,['serum']
2,5,9,2,norml, FAIR ,5,5,['toner']
1,6,1,5,norml, Dark,0,2,['toner']
1,6,,7,combination,BROWN,5,,['moisturizer']
,,8,,Dry,brown,9,8,['moisturizer']
6,0,7,3,normal, dark ,2,,['serum']
2,,5,4,combination,olive,3,7,['facewash']
7,0,8,4,, DARK,3,5,
5,1,7,6,OILY,fair,0,4,['facewash']
5,3,1,3, COMBINATION,FAIR,0,6,['serum']
1,1,8,4, COMBINATION,medum,1,10,['serum']
8,8,0,,SENSITIVE, olive ,2,3,['serum']
6,9,3,1,OILY,olive,6,5,"['toner', 'facewash']"
2,5,10,5,,dark,4,3,serumm
9,0,9,5,sensitive,brown,1,2,['serum']
7,9,5,2,combination, dark ,6,3,
8,,2,1,DRY,FAIR,10,1,
2,1,3,1,,olive,9,,['sunscreen']
1,8,5,0,dry,FAIR,3,0,"['toner', 'facewash', 'moisturizer']"
5,3,2,2,oily,dark,8,5,serumm
8,4,1,7,dry,medium,4,1,['moisturizer']
3,8,3,3,SENSITIVE,FAIR,1,5,serumm
10,1,6,2,combination, DARK,2,4,['facewash']
2,1,9,8,normal, olive ,1,10,['sunscreen']
1,7,8,,Dry,fair,2,8,"['toner', 'facewash', 'moisturizer']"
2,,8,2,dry,FAIR,6,0,['moisturizer']
3,3,6,7,, dark ,0,4,moistrzr
6,3,3,3,dry,medium,5,6,['moisturizer']
1,4,3,2,oily,dark,6,10,['facewash']
5,6,4,5,OILY,FAIR,4,6,['serum']
,10,4,5,sensitive,dark,5,4,face wash
9,6,9,7,OILY,fair,6,4,serumm
0,4,9,1,Dry,fair,4,4,moistrzr
1,4,3,0,combination,MEDUM,2,0,['sunscreen']
10,4,3,6,normal,DARK,4,9,
3,1,3,1,OILY,fair,7,2,['sunscreen']
8,3,5,9,combination,dark,4,9,['serum']
0,8,0,,norml,olive,8,8,"['toner', 'facewash']"
0,,0,9,loiy,dark,1,9,moistrzr
7,4,10,6,DRY,olive,1,7,"['moisturizer', 'serum']"
10,5,7,0, Dry ,olive,,6,"['moisturizer', 'serum']"
7,2,4,0,norml,DARK,6,,['facewash']
,7,8,6,oily,MEDUM,10,0,['toner']
2,7,2,7,normal,olive,0,4,['moisturizer']
3,4,7,,sensitive,olive,3,10,['facewash']
3,2,6,2, oily ,onwrb,2,10,['moisturizer']
9,4,4,5, combination , fair ,7,9,['serum']
5,0,7,7,, Dark,,8,['moisturizer']
1,,2,0,Dry, olive ,3,,['moisturizer']
8,8,8,9, COMBINATION,  Dark ,6,1,
9,4,3,10,Dry,dark,7,1,"['sunscreen', 'moisturizer', 'serum']"
,4,1,10,,voile,9,0,['toner']
7,1,6,8,normal,FAIR,8,7,face wash
10,9,8,1,normal,DARK,5,3,['sunscreen']
3,4,2,0,OILY,dark,7,4,['facewash']
2,9,,6,SENSITIVE, Dark,0,8,"['toner', 'facewash']"
1,4,4,7,norml,afri,,6,['sunscreen']
6,10,5,5,oily,brown,10,8,"['toner', 'facewash']"
5,1,1,,normal,dark,3,10,
1,2,6,7, sensitive ,fair,5,10,
4,0,7,2,oily,,,2,['sunscreen']
6,6,8,,combination,medum,7,9,['toner']
,7,0,4,combination,medum,2,0,"['toner', 'facewash']"
3,7,2,9,norml,dark,1,10,"['toner', 'facewash', 'sunscreen']"
8,9,4,6,mrlno,olive,10,10,"['toner', 'facewash']"
1,8,8,3,dry,medum,3,5,"['toner', 'facewash', 'moisturizer']"
9,9,9,5,OILY,olive,0,8,"['toner', 'facewash', 'serum']"
1,4,,3, combination ,FAIR,10,,['sunscreen']
6,5,7,2,,brown,,9,['facewash']
3,3,3,,dry,FAIR,7,,['moisturizer']
2,9,4,5,oily, medium ,4,5,"['toner', 'facewash']"
7,6,4,9, COMBINATION,FAIR,5,3,['sunscreen']
8,3,0,6,combination,medum,6,3,face wash
2,7,4,9,norml,FAIR,6,3,"['toner', 'facewash', 'sunscreen']"
3,7,7,1,norml, Dark,,,face wash
2,,2,5,dyr,fair,7,9,['toner']
5,4,3,2,, medum ,3,6,
0,6,0,1,normal,medum,3,0,['facewash']
10,10,10,8,,,,0,"['toner', 'facewash', 'serum', 'sunscreen']"
0,5,3,3,normal,fair,10,,['serum']
10,6,8,9, normal ,FAIR,4,8,['serum']
,9,1,2,,fair,10,0,"['toner', 'facewash']"
5,5,0,10,normal,brown,2,4,
2,9,2,9, oily ,FAIR,2,4,['sunscreen']
4,,0,4,OILY,,9,4,['sunscreen']
3,5,9,3,DRY,olive,6,,['moisturizer']
1,2,0,,normal,BROWN,8,3,['sunscreen']
5,8,5,8,dry,FAIR,,7,
8,3,4,7,oily,dark,9,5,"['sunscreen', 'serum']"
6,2,6,7,Dry,medium,9,5,['moisturizer']
,8,5,8,,krda,3,7,['sunscreen']
10,3,1,9,dry,FAIR,10,,"['sunscreen', 'moisturizer', 'serum']"
4,3,1,0,,FAIR,10,6,['serum']
5,1,7,10,sensitive,medum,3,7,serumm
6,4,9,9, COMBINATION,FAIR,7,8,
4,9,4,1, oily ,olive,4,2,
6,9,4,7, sensitive , brown ,0,2,"['toner', 'facewash', 'sunscreen']"
2,8,4,8,NORMAL,fair,8,0,['facewash']
1,4,3,9,Dry, olive ,8,6,face wash
5,6,0,0,normal, medium ,7,1,['toner']
9,10,8,6,Dry,fair,5,0,"['toner', 'facewash', 'moisturizer', 'serum']"
0,1,5,5,dry, Dark,1,0,moistrzr
9,4,4,,Dry, fair ,5,8,
1,9,1,2,dry,olive,6,,['moisturizer']
7,7,5,10,  COMBINATION ,FRAI,9,,"['sunscreen', 'serum']"
2,0,6,4,, Dark,,9,['moisturizer']
3,3,5,7, COMBINATION,olive,7,4,['moisturizer']
5,3,10,8,yrD, olive ,7,9,['sunscreen']
9,0,1,8, COMBINATION, DARK,7,2,face wash
7,,9,3, COMBINATION,,2,5,['serum']
,3,6,8,esvseinti, Dark,10,,['sunscreen']
10,2,4,2,Dry,MEDIUM,10,7,"['moisturizer', 'serum']"
9,7,7,8, dry ,medium,3,4,"['toner', 'facewash', 'moisturizer', 'sunscreen']"
4,7,6,8, COMBINATION,medum,7,1,['moisturizer']
9,3,5,1,normal,,,2,serumm
2,10,1,10,,medum,7,,"['toner', 'facewash', 'sunscreen']"
0,0,6,7, COMBINATION, fair ,4,10,['facewash']
4,3,5,5,norml, Dark,2,8,['serum']
10,6,0,6,norml,FAIR,,4,moistrzr
1,3,5,,norml,,10,6,['toner']
10,4,8,2, Dry ,medium,0,3,serumm
8,,1,9,normal,DARK,4,2,['sunscreen']
8,3,5,1,dry, olive ,5,2,serumm
8,10,1,8, COMBINATION,OLIVE,,7,"['toner', 'facewash', 'serum', 'sunscreen']"
1,5,2,,oyil,dark,4,7,['sunscreen']
9,0,4,2, sensitive , dark ,3,1,['toner']
8,2,1,9,sensitive,,10,8,['serum']
6,5,0,4,oily,medium,10,10,
2,0,3,1,seieivstn,rk aD,1,2,['toner']
7,7,6,5,norml,,8,3,moistrzr
0,7,6,6,  COMBINATION ,mmdieu,2,3,
9,8,5,,normal,FAIR,2,8,['serum']
4,4,3,, OILY , rkDa,,6,['moisturizer']
8,2,1,2,,olive,0,5,['serum']
,10,6,10,Dry,  Dark ,10,1,serumm
7,5,3,4,Dry,medum,7,2,
2,10,3,, COMBINATION,fair,8,7,"['toner', 'facewash']"
7,9,5,6,Dry,FAIR,5,8,"['toner', 'facewash', 'moisturizer', 'serum']"
2,2,2,9,norml,OLIVE,2,8,['sunscreen']
,6,8,10,Dry,,6,8,"['sunscreen', 'moisturizer']"
2,3,7,5,combination,FAIR,4,3,face wash
7,0,8,0,normal,dark,7,3,['facewash']
8,10,4,2,OILY, medium ,8,10,"['toner', 'facewash', 'serum']"
8,3,10,,OILY,medium,7,1,moistrzr
8,5,8,,OILY, Dark,6,0,['serum']
2,10,1,4,sensitive,,4,4,['moisturizer']
